"decimal", "smallest base in which the number is a palindrome"
961, 5
962, 20
963, 16
964, 3
965, 192
966, 12
967, 13
968, 7
969, 10
970, 14
971, 19
972, 17
973, 27
974, 486
975, 2
976, 3
977, 976
978, 12
979, 10
980, 13
981, 28
982, 20
983, 982
984, 40
985, 14
986, 5
987, 11
988, 37
989, 10
990, 12
991, 4
992, 22
993, 13
994, 6
995, 16
996, 82
997, 996
998, 11
999, 10
1000, 9
